TICKER,SECTOR
KR,Consumer Staples
LHX,Industrials
LH,Health Care
LRCX,Information Technology
LW,Consumer Staples
LVS,Consumer Discretionary
LEA,Consumer Discretionary
LEGN,Health Care
LDOS,Industrials
LEN,Consumer Discretionary
LII,Industrials
LBRDK,Communication Services
LSXMA,Communication Services
LSXMK,Communication Services
FWONK,Communication Services
LNC,Financials
LYV,Communication Services
LKQ,Consumer Discretionary
LMT,Industrials
L,Financials
LOW,Consumer Discretionary
LPLA,Financials
LCID,Consumer Discretionary
LUMN,Communication Services
LYB,Materials
MTB,Financials
MRO,Energy
MPC,Energy
MKL,Financials
MKTX,Financials
MAR,Consumer Discretionary
MMC,Financials
MLM,Materials
MRVL,Information Technology
MAS,Industrials
MASI,Health Care
MA,Information Technology
MTCH,Communication Services
MKC,Consumer Staples
MCD,Consumer Discretionary
MCK,Health Care
MPW,Real Estate
MRK,Health Care
META,Communication Services
MET,Financials
MTD,Health Care
MGM,Consumer Discretionary
MCHP,Information Technology
MU,Information Technology
MSFT,Information Technology
MAA,Real Estate
MRNA,Health Care
MHK,Consumer Discretionary
MOH,Health Care
TAP,Consumer Staples
MDLZ,Consumer Staples
MDB,Information Technology
MPWR,Information Technology
MNST,Consumer Staples
MCO,Financials
MS,Financials
MOS,Materials
MSI,Information Technology
MSCI,Financials
NDAQ,Financials
NTAP,Information Technology
NFLX,Communication Services
NBIX,Health Care
NWL,Consumer Discretionary
NEM,Materials
NWSA,Communication Services
NEE,Utilities
NKE,Consumer Discretionary
NI,Utilities
NDSN,Industrials
NSC,Industrials
NTRS,Financials
NOC,Industrials
NRG,Utilities
NUE,Materials
NVDA,Information Technology
NVR,Consumer Discretionary
ORLY,Consumer Discretionary
OXY,Energy
OKTA,Information Technology
ODFL,Industrials
OMC,Communication Services
ON,Information Technology
OKE,Energy
ORCL,Information Technology
OTIS,Industrials
OVV,Energy
OC,Industrials
PCG,Utilities
PCAR,Industrials
PKG,Materials
PLTR,Information Technology
PANW,Information Technology
4966,Information Technology
PARA,Communication Services
PH,Industrials
PAYX,Information Technology
PAYC,Information Technology
PCTY,Information Technology
PYPL,Information Technology
PEP,Consumer Staples
PKI,Health Care
PFE,Health Care
PM,Consumer Staples
PSX,Energy
PINS,Communication Services
PXD,Energy
PLUG,Industrials
PNC,Financials
POOL,Consumer Discretionary
PPG,Materials
PPL,Utilities
PFG,Financials
PG,Consumer Staples
PGR,Financials
PLD,Real Estate
PRU,Financials
PTC,Information Technology
PEG,Utilities
PSA,Real Estate
PHM,Consumer Discretionary
QRVO,Information Technology
QCOM,Information Technology
PWR,Industrials
DGX,Health Care
RJF,Financials
RTX,Industrials
O,Real Estate
REG,Real Estate
REGN,Health Care
RF,Financials
RGEN,Health Care
RSG,Industrials
RMD,Health Care
RIVN,Consumer Discretionary
RHI,Industrials
RBLX,Communication Services
ROK,Industrials
ROKU,Communication Services
ROL,Industrials
ROP,Information Technology
ROST,Consumer Discretionary
RCL,Consumer Discretionary
RPRX,Health Care
RPM,Materials
SPGI,Financials
CRM,Information Technology
SBAC,Real Estate
SLB,Energy
SCHW,Financials
STX,Information Technology
SGEN,Health Care
SEE,Materials
SEIC,Financials
SRE,Utilities
ST,Industrials
NOW,Information Technology
SHW,Materials
SBNY,Financials
SPG,Real Estate
SIRI,Communication Services
SWKS,Information Technology
AOS,Industrials
SNAP,Communication Services
SNA,Industrials
SNOW,Information Technology
SO,Utilities
LUV,Industrials
SPLK,Information Technology
SSNC,Information Technology
SWK,Industrials
SBUX,Consumer Discretionary
STT,Financials
STLD,Materials
STE,Health Care
SYK,Health Care
SUI,Real Estate
SIVB,Financials
SYF,Financials
SNPS,Information Technology
SYY,Consumer Staples
TROW,Financials
TMUS,Communication Services
TTWO,Communication Services
TRGP,Energy
TGT,Consumer Discretionary
TEL,Information Technology
TDY,Information Technology
TFX,Health Care
TER,Information Technology
TSLA,Consumer Discretionary
TXN,Information Technology
TPL,Energy
TXT,Industrials
TMO,Health Care
TJX,Consumer Discretionary
TSCO,Consumer Discretionary
TTD,Communication Services
TW,Financials
TDG,Industrials
TRU,Industrials
TRV,Financials
TRMB,Information Technology
TFC,Financials
TWLO,Information Technology
TYL,Information Technology
TSN,Consumer Staples
UHAL/B,Industrials
UBER,Industrials
UDR,Real Estate
UGI,Utilities
ULTA,Consumer Discretionary
UNP,Industrials
UPS,Industrials
URI,Industrials
UNH,Health Care
U,Information Technology
UHS,Health Care
USB,Financials
MTN,Consumer Discretionary
VLO,Energy
VEEV,Health Care
VTR,Real Estate
VRSN,Information Technology
VRSK,Industrials
VZ,Communication Services
VRTX,Health Care
VFC,Consumer Discretionary
VTRS,Health Care
VICI,Real Estate
V,Information Technology
VST,Utilities
VMW,Information Technology
VMC,Materials
WAB,Industrials
WBA,Consumer Staples
WMT,Consumer Staples
DIS,Communication Services
WBD,Communication Services
WCN,Industrials
WM,Industrials
WAT,Health Care
WBS,Financials
WEC,Utilities
WFC,Financials
WELL,Real Estate
WST,Health Care
WDC,Information Technology
WU,Information Technology
WLK,Materials
WRK,Materials
WY,Real Estate
WHR,Consumer Discretionary
WMB,Energy
WOLF,Information Technology
WDAY,Information Technology
WPC,Real Estate
WRB,Financials
GWW,Industrials
WYNN,Consumer Discretionary
XEL,Utilities
XYL,Industrials
YUM,Consumer Discretionary
ZBRA,Information Technology
Z,Real Estate
ZBH,Health Care
ZTS,Health Care
ZM,Information Technology
ZI,Communication Services
ZS,Information Technology
